No,I,Ton,Toff,Wire Feed,MRR,SR,Overcut
1,1,100,24,2,0.04462,1.6904,0.051
2,1,115,30,4,0.02591,3.4104,0.047
3,1,120,40,8,0.02148,1.7628,0.084
4,1,130,60,12,0.0232,1.8698,0.128
5,2,100,30,8,0.04142,1.557,0.101
6,2,115,24,12,0.19,3.09,0.108
7,2,120,60,2,0.2133,3.473,0.112
8,2,130,40,4,0.29,1.7306,0.157
9,10,100,40,12,0.03842,1.5266,0.065
10,10,115,60,8,0.02121,1.6486,0.058
11,10,120,24,4,0.0322,1.716,0.104
12,10,130,30,2,0.035,1.93,0.076
13,11,100,60,4,0.02,1.5436,0.064
14,11,115,40,2,0.01183,1.7756,0.069
15,11,120,30,12,0.02332,1.7936,0.058
16,12,105,25,3,0.045,1.7,0.052
17,12,120,35,5,0.026,3.42,0.048
18,12,125,45,9,0.022,1.77,0.085
19,12,135,65,13,0.024,1.87,0.129
20,13,105,35,9,0.042,1.56,0.102
21,13,120,25,13,0.191,3.1,0.109
22,13,125,65,3,0.214,3.48,0.113
23,13,135,45,5,0.291,1.74,0.158
24,14,105,45,13,0.039,1.53,0.066
25,14,120,65,9,0.022,1.65,0.059
26,14,125,25,5,0.033,1.72,0.105
27,14,135,35,3,0.036,1.94,0.077
28,15,105,65,5,0.021,1.55,0.065
29,15,120,45,3,0.012,1.78,0.07
30,15,125,35,13,0.024,1.8,0.059
31,16,110,26,4,0.046,1.71,0.053
32,16,125,36,6,0.027,3.43,0.049
33,16,130,46,10,0.023,1.78,0.086
34,16,140,66,14,0.025,1.88,0.13
35,17,110,36,10,0.043,1.57,0.103
36,17,125,26,14,0.192,3.11,0.11
37,17,130,66,4,0.215,3.49,0.114
38,17,140,46,6,0.292,1.75,0.159
39,18,110,46,14,0.04,1.54,0.067
40,18,125,66,10,0.023,1.66,0.06
41,18,130,26,6,0.034,1.73,0.106
42,18,140,36,4,0.037,1.95,0.078
43,19,110,66,6,0.022,1.56,0.066
44,19,125,46,4,0.013,1.79,0.071
45,19,130,36,14,0.025,1.81,0.06
46,20,115,27,5,0.047,1.72,0.054
47,20,130,37,7,0.028,3.44,0.05
48,20,135,47,11,0.024,1.79,0.087
49,20,145,67,15,0.026,1.89,0.131
50,21,115,37,11,0.044,1.58,0.104
51,21,130,27,15,0.193,3.12,0.111
52,21,135,67,5,0.216,3.5,0.115
53,21,145,47,7,0.293,1.76,0.16
54,22,115,47,15,0.041,1.55,0.068
55,22,130,67,11,0.024,1.67,0.061
56,22,135,27,7,0.035,1.74,0.107
57,22,145,37,5,0.038,1.96,0.079
58,23,115,67,7,0.023,1.57,0.067
59,23,130,47,5,0.014,1.8,0.072
60,23,135,37,15,0.026,1.82,0.061
61,24,120,28,6,0.048,1.73,0.055
62,24,135,38,8,0.029,3.45,0.051
63,24,140,48,12,0.025,1.8,0.088
64,24,150,68,16,0.027,1.9,0.132
65,25,120,38,12,0.045,1.59,0.105
66,25,135,28,16,0.194,3.13,0.112
67,25,140,68,6,0.217,3.51,0.116
68,25,150,48,8,0.294,1.77,0.161
69,26,120,48,16,0.042,1.56,0.069
70,26,135,68,12,0.025,1.68,0.062
71,26,140,28,8,0.036,1.75,0.108
72,26,150,38,6,0.039,1.97,0.08
73,27,120,68,8,0.024,1.58,0.068
74,27,135,48,6,0.015,1.81,0.073
75,27,140,38,16,0.027,1.83,0.062
76,28,125,29,7,0.049,1.74,0.056
77,28,140,39,9,0.03,3.46,0.052
78,28,145,49,13,0.026,1.81,0.089
79,28,155,69,17,0.028,1.91,0.133
80,29,125,39,13,0.046,1.6,0.106
81,29,140,29,17,0.195,3.14,0.113
82,29,145,69,7,0.218,3.52,0.117
83,29,155,49,9,0.295,1.78,0.162
84,30,125,49,17,0.043,1.57,0.07
85,30,140,69,13,0.026,1.69,0.063
86,30,145,29,9,0.037,1.76,0.109
87,30,155,39,7,0.04,1.98,0.081
88,31,125,69,9,0.025,1.59,0.069
89,31,140,49,7,0.016,1.82,0.074
90,31,145,39,17,0.028,1.84,0.063
91,32,130,30,8,0.05,1.75,0.057
92,32,145,40,10,0.031,3.47,0.053
93,32,150,50,14,0.027,1.82,0.09
94,32,160,70,18,0.029,1.92,0.134
95,33,130,40,14,0.047,1.61,0.107
96,33,145,30,18,0.196,3.15,0.114
97,33,150,70,8,0.219,3.53,0.118
98,33,160,50,10,0.296,1.79,0.163
99,34,130,50,18,0.044,1.58,0.071
100,34,145,70,14,0.027,1.7,0.064
101,34,150,30,10,0.038,1.77,0.11
102,34,160,40,8,0.041,1.99,0.082
103,35,130,70,10,0.026,1.6,0.07
104,35,145,50,8,0.017,1.83,0.075
105,35,150,40,18,0.029,1.85,0.064
106,36,135,31,9,0.051,1.76,0.058
107,36,150,41,11,0.032,3.48,0.054
108,36,155,51,15,0.028,1.83,0.091
109,36,165,71,19,0.03,1.93,0.135
110,37,135,41,15,0.048,1.62,0.108
111,37,150,31,19,0.197,3.16,0.115
112,37,155,71,9,0.22,3.54,0.119
113,37,165,51,11,0.297,1.8,0.164
114,38,135,51,19,0.045,1.59,0.072
115,38,150,71,15,0.028,1.71,0.065
